obs,PCR,PYR
1970Q1,344746.944,424278.9755
1970Q2,350176.8904,433218.7094
1970Q3,355249.6723,440954.2191
1970Q4,361794.7199,446278.6647
1971Q1,362489.9705,447752.6818
1971Q2,368313.5585,453553.8601
1971Q3,372605.0153,460115.1331
1971Q4,377033.8552,468213.042
1972Q1,381866.5731,476719.544
1972Q2,384048.7627,479909.2425
1972Q3,391920.8333,484715.511
1972Q4,396012.6963,494261.921
1973Q1,402191.8325,500608.7882
1973Q2,408210.7676,505304.3619
1973Q3,411172.3491,511385.9257
1973Q4,415282.2129,515368.0879
1974Q1,415555.6165,513584.4055
1974Q2,418832.7831,520282.6094
1974Q3,421601.1725,524068.3211
1974Q4,418793.644,520968.3148
1975Q1,420447.2174,526181.9739
1975Q2,425701.1803,533685.5965
1975Q3,431511.0775,536713.3927
1975Q4,436872.4749,542172.4525
1976Q1,441956.8559,546984.1034
1976Q2,445716.7809,547503.8389
1976Q3,450315.8048,553287.8982
1976Q4,455293.0048,554771.0224
1977Q1,456907.5975,559066.8814
1977Q2,461965.5794,564428.3521
1977Q3,466037.9521,567543.1145
1977Q4,470665.752,574721.9835
1978Q1,471014.6133,579671.9082
1978Q2,475679.9995,586566.7354
1978Q3,479486.2259,593285.5835
1978Q4,485294.6653,598711.5781
1979Q1,488275.959,600378.9272
1979Q2,496653.8912,605969.297
1979Q3,496315.3613,604831.5916
1979Q4,502711.5534,606443.5358
1980Q1,506725.36,614006.8797
1980Q2,502549.9896,612379.6703
1980Q3,506991.2209,614048.8039
1980Q4,508559.7341,615908.5339
1981Q1,506084.9992,619359.4919
1981Q2,505436.2718,621576.932
1981Q3,508706.2127,622785.5078
1981Q4,509990.5471,622788.6534
1982Q1,511414.1979,625014.0309
1982Q2,509882.0984,622210.9249
1982Q3,510172.9641,619193.5485
1982Q4,513124.531,617521.5095
1983Q1,515409.4966,620635.6676
1983Q2,515311.6962,620954.8558
1983Q3,515480.8027,617804.8048
1983Q4,518880.5525,617546.9161
1984Q1,522925.7654,623616.4368
1984Q2,521956.1921,617487.4663
1984Q3,523304.9239,619836.6784
1984Q4,524542.0378,621092.1171
1985Q1,528704.9534,623894.39
1985Q2,533101.7531,628600.0705
1985Q3,538948.7295,634884.7657
1985Q4,543246.7148,637579.8595
1986Q1,544135.4111,642889.2847
1986Q2,553913.2253,648570.2528
1986Q3,558267.7484,654145.6338
1986Q4,561797.5289,658271.6358
1987Q1,562782.5994,659961.2839
1987Q2,572728.8546,666901.3364
1987Q3,578201.4896,671735.4831
1987Q4,585620.0215,676687.9947
1988Q1,586081.5465,684055.2976
1988Q2,590348.7592,684534.4233
1988Q3,598998.4153,690225.7171
1988Q4,603375.2176,698004.3315
1989Q1,606912.3189,701334.4229
1989Q2,611785.5704,704978.6224
1989Q3,617700.9372,712887.0453
1989Q4,624001.896,724170.392
1990Q1,630780.8911,737652.2011
1990Q2,635536.0279,744395.6441
1990Q3,638830.7517,750874.4709
1990Q4,644269.2865,755928.4595
1991Q1,651840.7305,765833.8562
1991Q2,656385.7836,775039.0005
1991Q3,657107.9404,771014.9695
1991Q4,663810.2418,776854.4524
1992Q1,668089.529,784610.4041
1992Q2,667590.2276,783261.441
1992Q3,669875.2565,787149.3655
1992Q4,675234.182,792494.4088
1993Q1,661449.3432,777355.1464
1993Q2,663583.0129,776413.042
1993Q3,667109.7193,777716.9323
1993Q4,672504.1711,778626.104
1994Q1,670676.8326,775999.6364
1994Q2,672737.0094,773058.3602
1994Q3,678369.7505,778622.2628
1994Q4,681571.8714,785250.2016
1995Q1,681753.2108,787900.361
1995Q2,688814.6733,794736.9411
1995Q3,691225.1376,796984.118
1995Q4,690695.3171,796566.2126
1996Q1,698443.22,804832.9621
1996Q2,698511.99,798717.0772
1996Q3,703172.86,802856.0616
1996Q4,703280.5,803838.3619
1997Q1,705482.64,805652.1459
1997Q2,711697.71,810142.1204
1997Q3,712736.41,813581.576
1997Q4,718574.48,817664.6414
1998Q1,724870.72,818842.7263
1998Q2,728258.7,823054.1414
