,PIBpm,unemp
1980Q1,124162,9.70639510158138
1980Q2,124585,10.4252119891634
1980Q3,124091,10.9045195825168
1980Q4,124811,11.5401448514458
1981Q1,124107,12.1681699051486
1981Q2,123969,12.7640965533999
1981Q3,124520,13.3127791872649
1981Q4,124396,13.8513274756061
1982Q1,124906,14.0353294473641
1982Q2,125380,14.3093470508162
1982Q3,126224,14.9870147010517
1982Q4,126669,15.3180755113617
1983Q1,127132,15.6131925709325
1983Q2,127919,15.6618034265658
1983Q3,128106,16.0842057627002
1983Q4,128934,16.4749000818426
1984Q1,130001,17.5569936753681
1984Q2,129600,18.1163534088837
1984Q3,130730,18.5241443916234
1984Q4,130896,19.2536248456391
1985Q1,132355,19.2793997517899
1985Q2,132231,19.7101254776088
1985Q3,133602,19.653004921532
1985Q4,135136,19.5055209826035
1986Q1,135517,19.3092766650537
1986Q2,138745,19.0819084300037
1986Q3,137767,18.8045881383325
1986Q4,138648,18.5280866228501
1987Q1,141486,18.461774033845
1987Q2,143603,18.2403167637208
1987Q3,146569,18.1280464979661
1987Q4,149567,17.7159027115973
1988Q1,150048,17.5819565828688
1988Q2,151884,17.552404743058
1988Q3,154622,17.2071749341073
1988Q4,154275,16.3225030872913
1989Q1,157913,15.9535016175128
1989Q2,159467,15.3585301210539
1989Q3,161603,14.8135787833298
1989Q4,161335,14.7654110246083
1990Q1,162750,14.3813502588764
1990Q2,165515,14.1635602955117
1990Q3,165020,13.8859238134148
1990Q4,171261,13.8185075695983
1991Q1,167971,13.6855861779333
1991Q2,170019,13.7264132944238
1991Q3,171304,14.2048285111565
1991Q4,172156.3,14.4010052976441
1992Q1,173874.3,14.6723784013358
1992Q2,171607.3,15.2189817498086
1992Q3,171715.3,15.7993404252267
1992Q4,170596.5,16.9920639636949
1993Q1,169004,18.1326317530266
1993Q2,168992,18.9334566090097
1993Q3,171025,19.6229033137949
1993Q4,171670,20.0410310705176
1994Q1,173091,20.492224292858
1994Q2,173471,20.6309256952597
1994Q3,174848,20.2298048656298
1994Q4,175501.6,19.9392439589207
1995Q1,177501,19.5138885732205
1995Q2,178613.2,19.2069963456802
1995Q3,179336,19.2202343978914
1995Q4,180677,19.0258112771793
1996Q1,181754,19.0530359520965
1996Q2,183107,18.8941364338981
1996Q3,184678,18.471338168066
1996Q4,185641,18.0223835685984
1997Q1,187535,17.680387707005
1997Q2,189247,17.5329940830664
1997Q3,191501,17.037397448092
1997Q4,194117,16.5214458214611
1998Q1,195829,15.8869361555489
1998Q2,198049,15.6122734037142
1998Q3,199922,15.1285100120045
1998Q4,202093,14.5218625775155
1999Q1,204123,13.5619209709939
1999Q2,206555,12.8052408607556
1999Q3,209303,12.4758136515381
1999Q4,211652,12.2074109756944
2000Q1,215049,11.8115010745533
2000Q2,217755,11.3205995940607
2000Q3,220107,11.0573585107905
2000Q4,222349,10.7032013601252
2001Q1,224721,10.1698571377687
2001Q2,226396,10.002212880114
2001Q3,228506,9.90414249515197
2001Q4,230061,10.0119388534668
2002Q1,231052,10.7860360690021
2002Q2,232949,10.8463070507612
2002Q3,234386,11.122866841478
2002Q4,236140,11.033191549447
2003Q1,238352,11.2543482527506
2003Q2,239608,11.0362890374184
2003Q3,241189,11.0530229544629
2003Q4,243245,10.9045027949014
2004Q1,244725,10.7930587074994
2004Q2,247131,10.8186708252415
2004Q3,249458,10.5291396859999
2004Q4,251133,10.144040267345
2005Q1,253599,9.6702485691203
2005Q2,255852,9.25495745479836
2005Q3,258327,8.37514009209087
2005Q4,260914,8.46257448175866
2006Q1,263915,8.54349031264996
2006Q2,266491,8.32911277082467
2006Q3,268969,8.0460282691059
2006Q4,271521,8.03447707676645
2007Q1,274020,7.9379605962442
2007Q2,276493,7.80301159765294
2007Q3,278615,7.99498253681459
2007Q4,280371,8.35063215545034
2008Q1,280990.75,8.99983877516773
2008Q2,281315.75,10.0914782146972
2008Q3,280801.75,11.1688234165297
2008Q4,276232.75,13.4120725255824
2009Q1,269050,16.226792998962
2009Q2,269038,17.2550445464318
2009Q3,269612,17.6019436748372
2009Q4,269519,18.1586853622147
2010Q1,269458,18.6602384507731
2010Q2,269879,19.2911382059378
2010Q3,269748,19.3732166724339
2010Q4,269889,19.5457941216679
2011Q1,269484,19.9617221629809
2011Q2,268648,20.2478851308249
2011Q3,266913,21.2317371946127
2011Q4,265142,22.0388829455854
2012Q1,262674,22.9693542845687
2012Q2,260156,23.8729109968187
2012Q3,258804,24.6517616597045
2012Q4,256887,25.143293090309
2013Q1,256097,25.5122316490857
2013Q2,255871,25.4506871481844
2013Q3,255777,25.4204296818737
2013Q4,256202,25.0719520796388
2014Q1,257144,24.5338811182015
2014Q2,258355,23.9424992783442
2014Q3,260252,23.4869641740089
2014Q4,262488,23.1227928660645
2015Q1,265500,22.4794536684351
2015Q2,268365,21.8876992598533
2015Q3,270796,21.054268980708
2015Q4,273431,20.4314668483563
2016Q1,275291,19.9351117365813
2016Q2,276433,19.618966742538
2016Q3,278801,18.8767577430643
2016Q4,280317,18.2447496102096
2017Q1,282518,17.7667291328288
2017Q2,285413,16.9288619033528
2017Q3,287209,16.3355909020943
2017Q4,288758,16.177913444893
2018Q1,289991,15.8700786619527
2018Q2,291690,15.1029710800135
2018Q3,293208,14.5276698680464
2018Q4,295141,14.2118816485996
2019Q1,296938,13.9641315768639
2019Q2,297966,13.8107831930136
2019Q3,298845,13.7833771815934
2019Q4,299494,13.5080896187407
2020Q1,283370,13.8522289149975
2020Q2,233382,15.312043937016
2020Q3,271292,16.2819223132429
2020Q4,271946,15.9650418761238
2021Q1,273029,15.4089780892177
2021Q2,278745,15.4328296598846
2021Q3,285208,14.638966408216
2021Q4,290881,13.2468152520671
2022Q1,291636,13.2425620055304
2022Q2,298888,12.718969486317
2022Q3,300474,12.7767335304066
2022Q4,301950,12.7699812168228
2023Q1,303638,12.7827080775474
2023Q2,304960,11.789984122509
2023Q3,305925,11.9497335996914
