state,district,vote_dem,exp_dem,exp_rep,str_dem
"AL","7",68,328.3,8.74,41
"AK","1",38,402.48,626.38,40
"AZ","2",73,99.61,3.07,55
"AZ","3",31,26.28,319.69,36
"AR","3",25,60.05,159.22,34
"AR","4",69,570.16,21.39,46
"CA","2",41,193.91,696.75,42
"CA","3",71,638.69,7.7,49
"CA","5",76,616.94,19.25,71
"CA","6",73,351.69,50.53,64
"CA","7",68,269.89,14.71,53
"CA","11",71,269.51,95.57,58
"CA","12",48,1089.57,1440.64,51
"CA","16",79,252.34,69.56,54
"CA","19",50,1548.19,1470.67,46
"CA","23",64,140.49,100.96,56
"CA","24",72,191.33,15.45,65
"CA","27",68,398.6,15.24,54
"CA","30",60,460.62,382.11,53
"CA","32",67,457.41,20.61,49
"CA","34",63,227.1,149.89,50
"CA","36",54,532.9,218.7,47
"CA","37",36,13.56,122.84,32
"CA","40",33,47.75,1110.13,32
"CA","42",36,11.89,494.49,35
"CO","1",70,217.5,26.04,61
"CO","2",63,721.65,85.1,50
"CO","3",78,482.79,17.94,46
"CO","5",25,0.93,183.23,33
"CO","6",37,489.3,636.2,43
"CT","2",64,727.92,246.9,49
"CT","4",28,44.41,372.68,43
"CT","6",34,128.85,399.37,47
"DE","1",68,371.75,184.71,43
"FL","1",67,210.94,23.91,27
"FL","4",50,1069.7,313.42,64
"FL","6",46,503.65,408.29,39
"FL","14",55,971.88,777.99,47
"FL","19",72,337.6,4.91,41
"GA","1",67,337.05,40.46,39
"GA","4",60,516.74,696.3,41
"GA","5",78,101.54,6.05,68
"GA","6",41,358.35,838.71,33
"GA","7",65,382.28,60.69,29
"GA","9",63,405.04,64.4,29
"GA","10",64,193.12,6.76,35
"ID","2",63,502.08,206.96,33
"IL","4",50,359.94,348.34,44
"IL","5",61,165.14,48.94,48
"IL","6",26,26.56,281.23,32
"IL","9",66,122.9,28.32,61
"IL","11",65,239.16,41.26,46
"IL","17",65,471.23,124.13,53
"IL","19",64,193.21,16.24,45
"IL","20",69,251.63,57.71,49
"IL","21",53,394.41,69.49,54
"IN","2",53,444.42,332.88,35
"IN","5",56,689.09,244.99,35
"IN","6",27,11.74,333.72,31
"IN","8",62,551.48,130.24,42
"IN","10",61,35.79,24.92,51
"IA","5",36,115.7,420.73,53
"IA","6",36,175.95,523.11,50
"KS","2",73,388.87,119.26,46
"KS","3",26,13.48,234.58,46
"KS","4",64,545.76,149.04,43
"KY","2",61,8.4,84.1,41
"KY","3",70,371.43,4.93,53
"KY","4",26,23.64,468.87,35
"KY","7",59,411.7,432.4,55
"ME","2",34,68.39,202.32,45
"MD","3",73,354.7,18.89,54
"MA","4",60,343.1,34.37,57
"MA","5",84,344.93,15.4,47
"MA","6",70,337.2,63.01,50
"MA","10",67,235.95,121.06,51
"MI","2",46,750.49,876.78,42
"MI","3",57,600.94,164.86,45
"MI","4",29,8.58,323.83,37
"MI","7",76,150.59,1.31,55
"MI","8",72,128.4,2.19,50
"MI","9",30,14.87,450.8,38
"MI","11",40,415.66,680.82,48
"MI","12",54,434.2,143.89,39
"MI","14",63,137.56,3.54,44
"MI","15",64,234.43,7.99,45
"MI","18",23,9.46,77.1,30
"MN","2",42,152.29,623.78,49
"MN","4",72,216.17,35.79,61
"MN","5",72,281.45,16.92,65
"MN","6",65,320.22,100.94,51
"MN","8",75,157.8,7.74,60
"MO","3",63,512.21,202.52,47
"MO","6",41,198.62,341.34,50
"MO","7",47,215.06,338.13,39
"MO","8",42,516.24,768.79,45
"MO","9",68,210.84,9.56,45
"MT","1",61,250.28,58.2,48
"MT","2",45,394.1,380.93,46
"NE","1",33,96.28,221.53,44
"NE","2",51,858.76,1158.29,42
"NV","1",64,652.2,147.89,42
"NJ","3",52,678.65,981.86,37
"NJ","4",34,53.96,252.82,45
"NJ","6",62,123.63,38.92,46
"NJ","9",68,403.06,57.26,46
"NM","1",49,576.68,559.13,46
"NM","3",73,267.63,41.67,54
"NY","3",57,364.09,90.89,40
"NY","5",35,35.63,337.79,44
"NY","15",39,162.16,602.94,67
"NY","17",84,170.57,2.85,78
"NY","22",29,10.43,411.06,43
"NY","23",62,273.51,174.79,56
"NY","24",28,15.94,151.28,42
"NY","27",43,645.12,594.97,48
"NY","30",57,802.89,310.7,45
"NY","31",47,453.46,688.38,44
"NC","1",65,82.15,16.76,46
"NC","4",58,1006.64,745.73,44
"NC","5",53,756.11,718.02,40
"NC","6",38,583.01,738.09,39
"NC","8",52,581.89,242.78,38
"NC","10",39,44.33,302.21,35
"ND","1",71,143.21,1.15,43
"OH","2",28,13.96,125.68,38
"OH","6",26,43.49,884.75,36
"OH","9",81,244.03,47.94,53
"OH","11",62,561.07,860.77,44
"OH","14",75,419.01,13.24,52
"OH","15",25,6.68,211.96,38
"OH","17",77,96,2.39,62
"OH","19",70,226.09,0.52,45
"OK","1",48,253.59,484.58,39
"OK","2",65,358.7,81.63,47
"OK","5",28,0.3,318.82,33
"OR","4",72,279.81,58.56,54
"PA","1",76,234.96,1.64,66
"PA","3",63,250.48,23.1,48
"PA","6",63,121.43,12,38
"PA","7",32,203.58,507.36,40
"PA","8",57,1089.61,507.68,38
"PA","13",33,60.67,225.41,44
"PA","15",43,355.02,752.33,45
"PA","23",38,106.46,336.67,44
"RI","1",44,801.29,385.4,58
"SC","1",36,82.04,118.7,39
"SC","3",54,641.43,354.58,33
"SC","4",52,1143.35,630.91,32
"SD","1",72,632.1,199.42,47
"TN","6",76,454.35,12.62,39
"TX","1",62,505.61,94.48,47
"TX","5",61,646.22,179.2,50
"TX","6",32,17.41,654.26,38
"TX","13",52,384.74,476.22,36
"TX","14",53,600.11,645.99,42
"TX","23",65,187.3,6.36,49
"TX","26",31,189.78,314.9,32
"UT","1",40,391.93,426.9,28
"UT","2",57,676.47,254.82,40
"VA","1",27,30.3,284.7,40
"VA","10",32,241.45,758.36,43
"WA","1",45,625.93,1321.02,51
"WA","3",50,684.21,354.14,51
"WA","5",76,476.46,13.53,48
"WA","6",68,288.17,37.62,50
"WA","8",29,12.6,300.05,44
"WV","1",75,103.15,15.22,51
"WV","4",61,152.27,32.04,58
"WI","3",32,22.63,359.8,53
"WI","5",64,1278.53,197.46,64
"WI","7",62,450.72,202.59,54
"WI","8",30,14.42,227.82,47
